team_name,starting_budget,starting_gdp,starting_gini,key_short_name,cost,remaining_budget,new_gdp,new_gini,game_round,previous_policies,policy2,cost2,type,value,description,gamble,stake,win
Mr Monty Carlo,2.23E+09,109.2,0.3214,10 Renovation,6.00E+08,1.63E+09,112.476,0.331,3,"21, 25",NA,NA,Refugee Crisis,0,A refugee crisis has not led to your gini coefficient resetting to 0.3,NA,NA,NA
Team 1,4.10E+08,87.5328,0.2597,4 Ice cream,4.00E+08,1.00E+07,83.1562,0.2415,4,"1, 2, 3",NA,NA,Recession,6,A recessions has led to a reduction in GDP of 6%,NA,NA,NA
Team 2,4.10E+08,87.5328,0.2597,4 Ice cream,4.00E+08,1.00E+07,83.1562,0.2415,4,"1, 2, 3",NA,NA,Recession,6,A recessions has led to a reduction in GDP of 6%,NA,NA,NA
Team 3,4.10E+08,87.5328,0.2597,4 Ice cream,4.00E+08,1.00E+07,83.1562,0.2415,4,"1, 2, 3",NA,NA,Recession,6,A recessions has led to a reduction in GDP of 6%,NA,NA,NA
Team 4,4.10E+08,87.5328,0.2597,4 Ice cream,4.00E+08,1.00E+07,83.1562,0.2415,4,"1, 2, 3",NA,NA,Recession,6,A recessions has led to a reduction in GDP of 6%,NA,NA,NA
Team 5,4.10E+08,87.5328,0.2597,4 Ice cream,4.00E+08,1.00E+07,83.1562,0.2415,4,"1, 2, 3",NA,NA,Recession,6,A recessions has led to a reduction in GDP of 6%,NA,NA,NA
Mr Monty Carlo,1.63E+09,105.7274,0.331,7 Scholarship,1.00E+09,6.25E+08,108.8992,0.3376,4,"21, 25, 10",NA,NA,Recession,6,A recessions has led to a reduction in GDP of 6%,NA,NA,NA
Team 1,1.00E+07,83.1562,0.2415,5 Part-time,1.50E+08,-2.40E+08,78.1668,0.227,5,"1, 2, 3, 4",6 Bonus,1.00E+08,NA,NA,NA,NA,NA,NA
Team 2,1.00E+07,83.1562,0.2415,5 Part-time,1.50E+08,-2.40E+08,78.1668,0.227,5,"1, 2, 3, 4",6 Bonus,1.00E+08,NA,NA,NA,NA,NA,NA
Team 3,1.00E+07,83.1562,0.2415,5 Part-time,1.50E+08,-2.40E+08,78.1668,0.227,5,"1, 2, 3, 4",6 Bonus,1.00E+08,NA,NA,NA,NA,NA,NA
Team 4,1.00E+07,83.1562,0.2415,5 Part-time,1.50E+08,-2.40E+08,78.1668,0.227,5,"1, 2, 3, 4",6 Bonus,1.00E+08,NA,NA,NA,NA,NA,NA
Team 5,1.00E+07,83.1562,0.2415,5 Part-time,1.50E+08,-2.40E+08,78.1668,0.227,5,"1, 2, 3, 4",6 Bonus,1.00E+08,NA,NA,NA,NA,NA,NA
Mr Monty Carlo,6.25E+08,108.8992,0.3376,9 Training,8.00E+08,-4.25E+08,114.3442,0.3342,5,"21, 25, 10, 7",24 Pollutants,2.50E+08,NA,NA,NA,NA,NA,NA
